algo,value,runtime_s,nodes_generated,nodes_explored,pruning_ratio,first_opt_node,memory_peak_mb,opt_known,opt_value,opt_time_s,correct,capacity,n,sum_w,timeout,error,class,sample,seed
bb_enhanced,800,0.0018000999989453703,85,85,0.0,55,0.00839996337890625,True,800,0.001226500011398457,True,500,25,1306,False,,Uncorrelated,1,8001378
bb_basic,1075,0.0010718999983510002,175,175,0.0,26,0.0025787353515625,True,1075,0.0014070000033825636,True,500,25,1065,False,,Uncorrelated,2,8066915
bb_enhanced,1075,0.0033909000048879534,137,137,0.0,86,0.01595306396484375,True,1075,0.0014070000033825636,True,500,25,1065,False,,Uncorrelated,2,8066915
bb_basic,841,0.00028560000646393746,39,39,0.0,26,0.00167083740234375,True,841,0.0012642999936360866,True,500,25,1396,False,,Uncorrelated,3,8132452
bb_enhanced,841,0.0008497999951941893,39,39,0.0,26,0.00417327880859375,True,841,0.0012642999936360866,True,500,25,1396,False,,Uncorrelated,3,8132452
bb_basic,837,0.0005296000017551705,92,92,0.0,26,0.001800537109375,True,837,0.0012247999984538183,True,500,25,1464,False,,Uncorrelated,4,8197989
bb_enhanced,837,0.0012752000038744882,63,63,0.0,44,0.00580596923828125,True,837,0.0012247999984538183,True,500,25,1464,False,,Uncorrelated,4,8197989
bb_basic,979,0.000570399992284365,98,98,0.0,26,0.002044677734375,True,979,0.0013548999995691702,True,500,25,1180,False,,Uncorrelated,5,8263526
bb_enhanced,979,0.0020517000084510073,98,98,0.0,64,0.01036834716796875,True,979,0.0013548999995691702,True,500,25,1180,False,,Uncorrelated,5,8263526
bb_basic,881,0.0003181999927619472,44,44,0.0,26,0.002044677734375,True,881,0.0014032999897608534,True,500,25,1160,False,,Uncorrelated,6,8329063
bb_enhanced,881,0.0010022000060416758,44,44,0.0,29,0.00482177734375,True,881,0.0014032999897608534,True,500,25,1160,False,,Uncorrelated,6,8329063
bb_basic,877,0.0004900000058114529,83,83,0.0,26,0.00177001953125,True,877,0.0013747000048169866,True,500,25,1326,False,,Uncorrelated,7,8394600
bb_enhanced,877,0.0015830000047571957,83,83,0.0,61,0.00670623779296875,True,877,0.0013747000048169866,True,500,25,1326,False,,Uncorrelated,7,8394600
bb_basic,959,0.0005789999995613471,91,91,0.0,26,0.00252532958984375,True,959,0.001393900005496107,True,500,25,1060,False,,Uncorrelated,8,8460137
bb_enhanced,959,0.0014147000038065016,63,63,0.0,39,0.00756072998046875,True,959,0.001393900005496107,True,500,25,1060,False,,Uncorrelated,8,8460137
bb_basic,907,0.0003443000023253262,53,53,0.0,26,0.00176239013671875,True,907,0.0013010000111535192,True,500,25,1378,False,,Uncorrelated,9,8525674
bb_enhanced,907,0.0010420000035082921,42,42,0.0,29,0.0042266845703125,True,907,0.0013010000111535192,True,500,25,1378,False,,Uncorrelated,9,8525674
bb_basic,766,0.0004565999988699332,75,75,0.0,26,0.00185394287109375,True,766,0.0012667999981204048,True,500,25,1333,False,,Uncorrelated,10,9740306
bb_enhanced,766,0.001513600000180304,68,68,0.0,47,0.00638580322265625,True,766,0.0012667999981204048,True,500,25,1333,False,,Uncorrelated,10,9740306
